state | recalc | errs | fails | scen | FY26A | gap28lo | gap28hi | gleg28 | rel | sign | CEratio | compA | compO
BASE_DEFAULT | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_SCEN=1 | success | 0 | 0 | Bear | 48,830 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_SCEN=3 | success | 0 | 0 | Bull | 62,580 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_HAIRCUT=2 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | -4.5% | - | 1.73 | 8.150 | 4.870
SW_OAI_BASIS=2 | success | 0 | 6 | Base | 60,080 | -27,655 | -25,355 | 40,000 | -7.5% | - | 1.78 | 8.150 | 4.790
SW_IPO_OAI=1 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_A_FY25=2 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_A_FY24_NI=1 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_A_2026_LOSS=1 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_A_HC=2 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_TPU_RATE=1 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_TPU_RATE=3 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_TPU_RATE=4 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_TOTAL_RAISED_VIEW=2 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_15B_FACILITY=1 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.135 | 4.870
SW_SSI=2 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_GW_2028=2 | success | 0 | 0 | Base | 60,080 | -27,655 | -25,355 | 40,000 | +15.7% | + | 1.43 | 8.150 | 4.870
SW_GOOGLE_VALUE=2 | success | 0 | 0 | Base | 60,080 | -34,155 | -31,855 | 46,500 | +15.7% | + | 1.43 | 8.150 | 4.870
Bear+proxy16.3 | success | 0 | 0 | Bear | 48,830 | -69,155 | -66,855 | 81,500 | +15.7% | + | 1.43 | 8.150 | 4.870
Bull+proxy6.9 | success | 0 | 0 | Bull | 62,580 | -22,155 | -19,855 | 34,500 | +15.7% | + | 1.43 | 8.150 | 4.870
proxy+15GW+12.5 | success | 0 | 0 | Base | 60,080 | -175,155 | -172,855 | 187,500 | +15.7% | + | 1.43 | 8.150 | 4.870
27pct+GROSS | success | 0 | 6 | Base | 60,080 | -27,655 | -25,355 | 40,000 | -23.6% | - | 2.16 | 8.150 | 4.790
Bear+all-alt | success | 0 | 6 | Bear | 48,830 | -232,155 | -229,855 | 244,500 | -23.6% | - | 2.16 | 8.135 | 4.790
Bull+all-alt | success | 0 | 6 | Bull | 62,580 | -91,155 | -88,855 | 103,500 | -23.6% | - | 2.16 | 8.135 | 4.790
